Type,GPU count,Gflops (per GPU),N,NB,P,Q,dat file & clock speed,note
A100_80,1 GPU,1.9500E+04,,,,,,R peak
A100_80,1 GPU,1.5560E+04,101952,192,1,1,HPL-dgx-1N-1.dat,"dell, mpi, no slurm"
A100_80,220,"2550000, 59.4% R peak","1,514,240",192,,,,most recent submission
A100_80,1 GPU,1.7700E+04,92160,1024,1,1,HPL-dgx-1N-1.dat,container with slurm
A100_80,1 GPU,1.7740E+04,92160,1024,1,1,HPL-dgx-1N-1.dat,container no slurm
H100,1 GPU,3.2380E+04,92160,1024,1,1,,container with slurm
H100,1 node 2 GPU ea.,6.2270E+04,,,,,,container with slurm
A100_80,1 node 4 GPU ea.,7.127e+04 ( 1.782e+04),190464,1024,2,2,HPL-dgx-1N-4.dat,container with slurm
H100,1 node 4 GPU ea.,1.797e+05 ( 4.492e+04),190464,1024,2,2,HPL-dgx-1N-4.dat,container v25.09
A100_80,2 node 1 GPU ea.,1.177e+03 ( 5.884e+02),8192,1024,1,2,,"nv_binary, srun"
A100_80,2 node 4 GPU ea.,1.3180E+05,263808,1152,4,2,modified HPL-dgx-1N.dat,container with slurm
A100_80,2 node 4 GPU ea.,1.302e+05 ( 1.627e+04),274432,1024,4,2,HPL-dgx-1N.dat,container v25.09
"A100_80, H100",2 node 2 GPU ea.,6.8490E+04,190464,1024,2,2,,container with slurm
A100_80,2 node 4 GPU ea.,1.249e+05 ( 1.562e+04),264192,1024,2,4,modified HPL-OOC-8GPUs.dat,"container v25.09, OOC"
A100_80,16,2.541e+05 ( 1.588e+04),376832,1024,4,4,HPL-16GPUs.dat,container v25.09
A100_80,"16, scg0[09-12]",2.524e+05 ( 1.577e+04),376832,1024,4,4,HPL-16GPUs.dat,
A100_80,128,1.347e+06 ( 1.052e+04),1056768,1024,8,16,"HPL-128GPUs.dat, 1395MHz default",container v25.09
A100_80,128,1.282e+06 ( 1.001e+04),1056768,1024,8,16,"HPL-128GPUs.dat, clock speed 1200 MHz",
A100_80,128,1.312e+06 ( 1.025e+04),1056768,1024,8,16,1275MHz,
A100_80,128,1.327e+06 ( 1.037e+04),1056768,1024,8,16,1335MHz,
A100_80,128,1.332e+06 ( 1.041e+04),1056768,1024,8,16,1365,
A100_80,128,1.348e+06 ( 1.053e+04),1056768,1024,8,16,1410,
A100_80,128,1.334e+06 ( 1.042e+04),1056768,1024,8,16,"1365, 1410",
A100_80,240,2.3850E+06,1506304,1024,15,16,1365; 1275 for sg024 & sg041,
A100_80,240,2.3660E+06,1506816,1152,15,16,1365; 1275 for sg024 & sg041,
A100_80,240,2.4280E+06,1536000,1024,15,16,1365; 1275 for sg024 & sg041,
A100_80,240,2.4130E+06,1535616,1152,15,16,1365; 1275 for sg024 & sg041,
A100_80,240,2.1490E+06,1506304,1024,16,15,1365; 1275 for sg024 & sg041,
A100_80,240,2.1560E+06,1506816,1152,16,15,1365; 1275 for sg024 & sg041,
A100_80,240,2.2240E+06,1536000,1024,16,15,1365; 1275 for sg024 & sg041,
A100_80,240,2.1840E+06,1535616,1152,16,15,1365; 1275 for sg024 & sg041,
A100_80,240,2.1700E+06,1474560,192,15,16,1380; 1275 for sg024 & sg041,
A100_80,240,2.4960E+06,1474560,384,15,16,1380; 1275 for sg024 & sg041,
A100_80,240,2.4800E+06,1474560,512,15,16,1380; 1275 for sg024 & sg041,
A100_80,240,2.3670E+06,1474560,768,15,16,1380; 1275 for sg024 & sg041,
A100_80,240,2.3350E+06,1474560,1024,15,16,1380; 1275 for sg024 & sg041,
A100_80,240,2.3560E+06,1474560,1152,15,16,1380; 1275 for sg024 & sg041,
A100_80,240,2.3200E+06,1474560,1280,15,16,1380; 1275 for sg024 & sg041,
A100_80,240,2.1100E+06,1489920,192,15,16,1380; 1275 for sg024 & sg041,
A100_80,240,2.4260E+06,1489920,384,15,16,1380; 1275 for sg024 & sg041,
A100_80,240,2.4320E+06,1489920,512,15,16,1380; 1275 for sg024 & sg041,
A100_80,240,2.3690E+06,1489920,768,15,16,1380; 1275 for sg024 & sg041,
A100_80,240,2.3460E+06,1489920,1024,15,16,1380; 1275 for sg024 & sg041,
A100_80,240,2.3190E+06,1489536,1152,15,16,1380; 1275 for sg024 & sg041,
A100_80,240,2.3450E+06,1489920,1280,15,16,1380; 1275 for sg024 & sg041,
"A100_80, H100","8 (sdg051, scg006 half)",1.295e+05 ( 1.618e+04),264192,1024,4,2,1410,
"A100_80, H100","8 (sdg051, scg006 half)",1.317e+05 ( 1.646e+04),274432,1024,4,2,1410,
"A100_80, H100","8 (sdg051, scg024)",1.288e+05 ( 1.610e+04),264192,1024,4,2,1410,
"A100_80, H100","8 (sdg051, scg024)",1.311e+05 ( 1.639e+04),274432,1024,4,2,1410,
"A100_80, H100","8 (sdg051, scg020 half)",1.294e+05 ( 1.617e+04),264192,1024,4,2,1410,
"A100_80, H100","8 (sdg051, scg020 half)",1.317e+05 ( 1.646e+04),274432,1024,4,2,1410,
"A100_80, H100","8 (sg001, scg006 half)",1.066e+05 ( 1.332e+04),397312,2048,2,4,"1380; 1275 for sg024,sg041,sg005",OOC
"A100_80, H100","8 (sg001, scg006 half)",1.163e+05 ( 1.453e+04),397312,2048,2,4,"1330; 1275 for sg024,sg041,sg005",OOC
"A100_80, H100","4 (sg001, scg021 2 ea.)",6.649e+04 ( 1.662e+04),190464,1024,2,2,1380,
"A100_80, H100","252 (mixed, 4 ea.)",1.137e+06 ( 4.514e+03),1519616,1024,14,18,"1395; 1275 for sg024,sg041,sg005",
"A100_80, H100","252 (mixed, 4 ea.)",1.6023E+06,1474560,1024,14,18,"1395; 1275 for sg024,sg041,sg005",
"A100_80, H100","252 (mixed, 4 ea.)",1.2344E+06,1474560,384,14,18,"1395; 1275 for sg024,sg041,sg005",
A100_80,240,2.1280E+06,1474560,192,15,16,"1395; 1275 for sg024,sg041,sg005",74.25592 GiB (AVG)
A100_80,240,2.4560E+06,1474560,384,15,16,"1395; 1275 for sg024,sg041,sg005",74.29127 GiB (AVG)
A100_80,240,2.4520E+06,1474560,512,15,16,"1395; 1275 for sg024,sg041,sg005",76.82668 GiB (AVG)
A100_80,240,2.3550E+06,1474560,1024,15,16,"1395; 1275 for sg024,sg041,sg005",76.86400 GiB (AVG)
A100_80,240,2.3770E+06,1474560,1152,15,16,"1395; 1275 for sg024,sg041,sg005",76.90014 GiB (AVG)
